pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
106.99,-90.69,0.0,top,SW2,DNP,,SW_PUSH_6mm,SW_Push,tht
70.483333,-148.45,180.0,bottom,SW3,DNP,,MX-Hotswap-1U,SW_Push,smt
89.596666,-148.45,180.0,bottom,SW4,DNP,,MX-Hotswap-1U,SW_Push,smt
108.71,-148.45,180.0,bottom,SW5,DNP,,MX-Hotswap-1U,SW_Push,smt
127.823333,-148.45,180.0,bottom,SW6,DNP,,MX-Hotswap-1U,SW_Push,smt
71.99,-100.37,90.0,top,U1,TAC5212IRGER,,VQFN24_RGE_CORNERPADS_TEX-L,TAC5212IRGER,smt
78.54,-117.91,180.0,top,U10,W9812G6KH-75,,TSOP-II-54_22.2x10.16mm_P0.8mm,W9812G6KH-75,smt
81.97,-99.6,-90.0,top,U11,LM1117MP-3.3,,SOT-223-3_TabPin2,LM1117MP-3.3,smt
75.08,-95.48,-135.0,top,U2,USBLC6-2P6,,SOT-666,USBLC6-2P6,smt
129.18,-101.7475,90.0,top,U4,TCA9548ARGER,,Texas_RGE0024C_VQFN-24-1EP_4x4mm_P0.5mm_EP2.1x2.1mm,TCA9548ARGER,smt
133.2525,-113.8625,90.0,top,U5,TCA9548ARGER,,Texas_RGE0024C_VQFN-24-1EP_4x4mm_P0.5mm_EP2.1x2.1mm,TCA9548ARGER,smt
132.66,-126.0425,90.0,top,U6,TCA9548ARGER,,Texas_RGE0024C_VQFN-24-1EP_4x4mm_P0.5mm_EP2.1x2.1mm,TCA9548ARGER,smt
105.61,-117.91,-90.0,top,U9,STM32H743IIT,,LQFP-176_24x24mm_P0.5mm,STM32H743IITx,smt
